iter	Passed	Remaining
456	823	978
457	824	976
458	825	973
459	826	970
460	827	967
461	828	965
462	830	963
463	831	960
464	832	958
465	834	955
466	835	953
467	836	950
468	837	947
469	838	945
470	839	942
471	840	939
472	841	937
473	842	934
474	843	931
475	844	930
476	846	927
477	847	925
478	848	922
479	849	920
480	850	917
481	851	915
482	852	912
483	853	909
484	854	907
485	855	904
486	856	902
487	857	899
488	859	898
489	860	896
490	862	893
491	863	891
492	865	889
493	866	887
494	868	885
495	869	883
496	870	881
497	872	879
498	874	877
499	876	876
500	877	874
501	879	872
502	881	870
503	882	868
504	886	868
505	889	867
506	890	865
507	891	863
508	893	861
509	894	859
510	895	857
511	897	855
512	898	852
513	899	850
514	901	848
515	902	846
516	904	844
517	905	842
518	906	840
519	907	838
520	909	835
521	910	833
522	911	831
523	912	829
524	916	829
525	918	827
526	919	825
527	920	822
528	921	820
529	922	818
530	923	815
531	924	813
532	925	811
533	926	808
534	927	806
535	928	804
536	930	802
537	931	799
538	932	797
539	933	795
540	934	792
541	935	790
542	936	788
543	937	786
544	938	783
545	939	781
546	940	779
547	941	776
548	942	774
549	944	772
550	945	770
551	946	768
552	948	766
553	949	764
554	950	761
555	951	759
556	952	757
557	953	755
558	954	752
559	955	750
560	957	748
561	958	746
562	959	745
563	961	743
564	962	740
565	963	738
566	964	736
567	965	734
568	966	732
569	968	730
570	969	728
571	970	725
572	971	723
573	972	721
574	974	720
575	975	718
576	976	715
577	977	713
578	978	711
579	979	709
580	981	707
581	982	705
582	983	703
583	985	701
584	986	700
585	988	698
586	989	696
587	990	694
588	991	691
589	992	689
590	993	687
591	994	685
592	995	683
593	996	681
594	997	679
595	998	677
596	1000	675
597	1001	673
598	1003	671
599	1004	669
600	1005	667
601	1006	665
602	1007	663
603	1008	661
604	1009	659
605	1010	656
606	1011	654
607	1012	652
608	1013	650
609	1014	648
610	1016	646
611	1017	645
612	1018	643
613	1019	641
614	1020	639
615	1021	637
616	1023	635
617	1024	633
618	1025	630
619	1026	628
620	1027	626
621	1028	624
622	1029	622
623	1030	621
624	1032	619
625	1033	617
626	1034	615
627	1035	613
628	1036	611
629	1037	609
630	1038	607
631	1039	605
632	1040	603
633	1041	601
634	1042	599
635	1043	597
636	1045	595
637	1046	593
638	1047	591
639	1048	589
640	1049	587
641	1050	585
642	1051	583
643	1052	581
644	1053	580
645	1055	578
646	1056	576
647	1057	574
648	1058	572
649	1059	570
650	1061	568
651	1062	567
652	1063	565
653	1064	563
654	1065	561
655	1066	559
656	1067	557
657	1069	555
658	1070	553
659	1071	551
660	1072	549
661	1073	548
662	1075	546
663	1076	544
664	1078	543
665	1079	541
666	1080	539
667	1082	538
668	1086	537
669	1088	536
670	1090	534
671	1091	532
672	1093	531
673	1095	529
674	1097	528
675	1098	526
676	1100	525
677	1102	523
678	1104	522
679	1105	520
680	1106	518
681	1107	516
682	1108	514
683	1110	512
684	1111	511
685	1114	509
686	1117	508
687	1118	507
688	1120	505
689	1121	504
690	1123	502
691	1124	500
692	1125	498
693	1127	497
694	1130	495
695	1131	494
696	1132	492
697	1134	490
698	1135	488
699	1136	487
700	1137	485
701	1139	483
702	1141	482
703	1143	480
704	1145	479
705	1147	477
706	1149	476
707	1150	474
708	1152	472
709	1153	471
710	1155	469
711	1156	467
712	1158	466
713	1159	464
714	1161	463
715	1162	461
716	1164	459
717	1165	457
718	1167	456
719	1169	454
720	1171	453
721	1174	452
722	1175	450
723	1177	448
724	1178	447
725	1180	445
726	1181	443
727	1182	441
728	1184	440
729	1186	438
730	1187	437
731	1189	435
732	1190	433
733	1191	431
734	1193	430
735	1194	428
736	1195	426
737	1197	424
738	1198	423
739	1200	421
740	1201	419
741	1202	418
742	1203	416
743	1204	414
744	1206	412
745	1207	411
746	1208	409
747	1210	407
748	1211	405
749	1213	404
750	1214	402
751	1216	401
752	1218	399
753	1219	397
754	1221	396
755	1223	394
756	1224	393
757	1226	391
758	1228	389
759	1229	388
760	1231	386
761	1232	385
762	1233	383
763	1235	381
764	1236	379
765	1238	378
766	1239	376
767	1241	375
768	1243	373
769	1245	371
770	1246	370
771	1248	368
772	1249	367
773	1251	365
774	1255	364
775	1257	362
776	1258	361
777	1259	359
778	1260	357
779	1261	355
780	1262	354
781	1263	352
782	1264	350
783	1265	348
784	1266	346
785	1267	345
786	1269	343
787	1270	341
788	1272	340
789	1273	338
790	1274	336
791	1275	334
792	1276	333
793	1277	331
794	1278	329
795	1279	327
796	1280	326
797	1281	324
798	1282	322
799	1284	321
800	1285	319
801	1286	317
802	1287	315
803	1288	314
804	1289	312
805	1290	310
806	1291	308
807	1292	307
808	1293	305
809	1294	303
810	1295	301
811	1296	300
812	1298	298
813	1299	297
814	1301	295
815	1302	293
816	1303	291
817	1304	290
818	1305	288
819	1306	286
820	1307	285
821	1308	283
822	1309	281
823	1310	279
824	1311	278
825	1313	276
826	1314	275
827	1315	273
828	1316	271
829	1317	269
830	1318	268
831	1320	266
832	1321	264
833	1322	263
834	1323	261
835	1324	259
836	1325	258
837	1326	256
838	1328	254
839	1329	253
840	1330	251
841	1332	249
842	1333	248
843	1334	246
844	1335	244
845	1336	243
846	1338	241
847	1339	240
848	1340	238
849	1341	236
850	1342	235
851	1344	233
852	1345	231
853	1346	230
854	1347	228
855	1348	226
856	1349	225
857	1350	223
858	1352	221
859	1353	220
860	1354	218
861	1355	216
862	1356	215
863	1358	213
864	1359	212
865	1360	210
866	1361	208
867	1362	207
868	1363	205
869	1364	203
870	1365	202
871	1366	200
872	1367	198
873	1368	197
874	1369	195
875	1371	194
876	1372	192
877	1373	190
878	1374	189
879	1375	187
880	1376	185
881	1377	184
882	1378	182
883	1379	181
884	1380	179
885	1381	177
886	1382	176
887	1383	174
888	1385	173
889	1387	171
890	1388	169
891	1389	168
892	1390	166
893	1391	164
894	1392	163
895	1393	161
896	1394	160
897	1395	158
898	1396	156
899	1397	155
900	1398	153
901	1400	152
902	1401	150
903	1402	148
904	1403	147
905	1405	145
906	1406	144
907	1407	142
908	1408	140
909	1409	139
910	1410	137
911	1411	136
912	1412	134
913	1413	132
914	1415	131
915	1416	129
916	1417	128
917	1418	126
918	1419	125
919	1420	123
920	1421	121
921	1422	120
922	1423	118
923	1424	117
924	1425	115
925	1427	114
926	1428	112
927	1429	110
928	1431	109
929	1432	107
930	1433	106
931	1434	104
932	1435	103
933	1436	101
934	1438	99
935	1439	98
936	1440	96
937	1441	95
938	1443	93
939	1445	92
940	1446	90
941	1447	89
942	1449	87
943	1450	86
944	1452	84
945	1453	82
946	1455	81
947	1459	80
948	1460	78
949	1462	76
950	1463	75
951	1464	73
952	1465	72
953	1466	70
954	1467	69
955	1468	67
956	1469	66
957	1470	64
958	1472	62
959	1473	61
960	1474	59
961	1475	58
962	1476	56
963	1477	55
964	1478	53
965	1479	52
966	1480	50
967	1481	48
968	1482	47
969	1483	45
970	1484	44
971	1486	42
972	1488	41
973	1489	39
974	1490	38
975	1491	36
976	1492	35
977	1493	33
978	1494	32
979	1495	30
980	1496	28
981	1497	27
982	1498	25
983	1499	24
984	1501	22
985	1502	21
986	1503	19
987	1504	18
988	1505	16
989	1506	15
990	1507	13
991	1508	12
992	1509	10
993	1510	9
994	1511	7
995	1513	6
996	1514	4
997	1515	3
998	1517	1
999	1518	0
